,restraint_number,atom_type,proton_a,proton_b,delta_a,delta_b,sigma,r2,distance_ab,index_a,index_b,top_distance,computed_distance,distance_split_0,distance_split_1,distance_split_2,distance_split_3,distance_split_4,ring_classification
0,1,NHNH,12,21,7.8,7.74,5.3553e-05,0.98,2.49,[59],[48],5.0,2.212580950485529,2.2160298272627394,2.214066221223631,2.214220161309611,2.2055222516849833,2.213172800137331,mixed
1,2,NHCH,12,11,7.8,4.95,2.0238e-05,0.99,2.93,[59],[36],3.0,2.9520337112367163,2.9549671532479826,2.9610260846603254,2.960642225454831,2.9452391633188286,2.9387531088169787,macrocycle
2,3,NHCH,12,8'',7.8,4.33,2.1267e-05,0.99,2.9,[59],[40],6.0,3.5469452247086437,3.5436638032337897,3.5755357571802904,3.5508066275519985,3.52758576732509,3.5383969116975695,macrocycle
3,4,NHCH,12,10',7.8,2.98,1.1776e-05,0.98,3.2,[59],[38],4.0,2.505107465041903,2.494269039438023,2.485897716466613,2.469683018760019,2.524171781202538,2.5582616223057872,macrocycle
4,5,NHCH,21,16,7.74,4.91,1.2026e-05,0.99,3.19,[48],[47],3.0,2.979350259937495,2.979527459442637,2.982446784255574,2.9793311322869034,2.979555236590654,2.9759159053652966,mixed
5,6,NHCH,21,15',7.74,4.49,5.459e-05,0.99,2.48,[48],[45],4.0,2.8363392080223635,2.8355476477186237,2.851032535685115,2.853563892957008,2.821285548469543,2.8214512534144296,mixed
6,7,NHCH,21,8'',7.74,4.33,1.659e-05,0.99,3.03,[48],[40],9.0,4.238818458153984,4.227478612898381,4.233612866588283,4.231424022142017,4.24740679481852,4.2546091755153785,mixed
7,8,CHCH,6,8'',7.43,4.33,2.8211e-05,0.99,2.77,[44],[40],4.0,2.4687569089977233,2.4533615637460677,2.4018146043575066,2.3833597620992495,2.546623522686777,2.609363403279379,mixed
8,9,CHCH,6,8',7.43,3.97,2.345e-05,0.99,2.86,[44],[39],4.0,2.707073074704533,2.752127111574747,2.814018938378074,2.872969499805653,2.616934054098135,2.5666566811432663,mixed
9,10,CHCH,15'',16,5.13,4.91,3.6303e-05,0.99,2.65,[46],[47],3.0,2.4361419866347562,2.438003112077127,2.4412835454062445,2.4395541155940204,2.4283550709196575,2.4336701529873803,macrocycle
10,11,CHCH,11,8',4.95,3.97,2.0588e-05,0.99,2.92,[36],[39],5.0,3.5031656998926346,3.5466401399790453,3.641848341095097,3.6451957472692227,3.375539467973297,3.3789410865119174,macrocycle
11,12,CHCH,16,15',4.91,4.49,2.9756e-05,0.98,2.74,[47],[45],3.0,2.4385721364628807,2.4377120114918784,2.434365953044066,2.4348864820615392,2.443457578797815,2.442541394199544,macrocycle
12,13,CHCH,8'',10'',4.33,3.25,1.8826e-05,0.99,2.96,[40],[37],4.0,3.151029799529859,3.191089534418558,3.1909244621722497,3.358190660110942,3.124744720215249,2.97506070662103,macrocycle
13,14,CHCH,8',10'',3.97,3.25,8.4757e-06,0.95,3.38,[39],[37],4.0,3.2555050027150645,3.2980468000681795,3.374962458564799,3.420904924951536,3.150698318968728,3.11237646975377,macrocycle
14,15,CHCH,8',10',3.97,2.98,9.9692e-06,0.99,3.29,[39],[38],4.0,2.928545625135291,2.90144458742128,2.867513074134038,2.8456533695291455,3.005733958470746,3.062626120010239,macrocycle
